Item_English,hierarchy_level,Q5,Q4,Q3,Q2,Q1,Total
Private aesthetic surgery and treatments,1,13.6,,,,,14.0
Other expenditures on health,1,355.4,286.3,272.8,274.9,212.6,280.4
Thereof:,1,,,,,,
Medications through health funds,1,93.7,66.7,95.7,84.8,71.7,82.5
Medications from pharmacies,1,21.4,26.0,40.0,54.7,43.7,37.1
Medications n.e.c.,1,49.6,35.0,21.5,25.8,24.9,31.4
"Cotton wool, tampons, and bandages",2,9.5,12.8,11.9,11.3,8.0,10.7
Other medical items(27),1,,,,4.3,,7.5
Glasses and contact lenses,1,102.9,76.0,46.4,43.8,33.1,60.4
Non-prescription vitamins,1,21.2,21.9,13.6,17.3,,16.2
Rehabilitation aids or medical equipment,1,6.1,,,,,10.7
Dental and oral hygiene products,1,23.3,17.8,16.0,14.4,7.9,15.9
"(SPECIFIED COMMODITIES) OF HOUSEHOLDS,",2,,,,,,
BY QUINTILE OF NET INCOME,1,,,,,,
PER STANDARD PERSON (Cont.),1,,,,,,
"Education, culture, and entertainment",2,2685.9,2306.6,1836.6,1414.9,1408.3,1930.6
Thereof:,1,,,,,,
Education services,0,1199.8,1178.1,978.0,763.1,897.3,1003.3
Thereof:,1,,,,,,
Home day care up to age 3,2,,,,26.2,44.4,29.4
Supervised institutional  kindergarten day care up to age 3,2,236.2,277.5,234.8,154.1,121.1,204.7
Private kindergarten or day care as of age 3,2,,,,,9.0,2.7
Municipal pre-compulsory or compulsory kindergarten,1,,15.9,,26.1,24.5,20.9
Primary schools,1,20.2,44.9,42.7,60.6,110.8,55.9
Lower secondary schools,1,20.8,22.2,25.1,15.7,22.4,21.2
General secondary schools,1,28.2,31.0,32.8,41.6,51.4,37.0
Post-secondary schools,1,,32.1,30.3,21.6,75.7,35.9
High Yeshiva,1,,,10.5,14.9,25.4,10.9
Academic institutions (incl. The Open University),1,123.3,166.9,157.2,112.0,139.4,139.7
Dormitory payments,1,,,,,,4.8
Afternoon care for children,1,79.3,97.8,98.1,63.6,54.7,78.7
Special tutoring for pupils,1,42.5,40.7,38.6,32.8,31.3,37.2
Dancing lessons and courses,1,19.2,13.6,10.9,8.1,,11.3
Music lessons and courses,1,20.0,18.0,,10.9,,13.6
"Painting, sculpture and photography lessons and courses",2,12.6,11.1,,,,7.0
Sports and exercise lessons,1,132.7,97.6,46.9,26.1,23.0,65.3
Swimming class,1,19.7,13.1,9.7,,9.2,12.4
"Soccer, basketball and other ball classes",2,29.4,28.7,25.1,16.0,7.4,21.3
Martial arts class,1,12.7,9.6,11.3,8.5,,8.9
Language courses,1,,,,,,7.0
Other lessons and courses(28),1,110.4,90.9,52.0,39.4,,70.5
Textbooks,1,,,,,,5.2
Writing and drawing supplies,1,,7.8,6.0,,,9.4
"Envelopes, paper, and other writing supplies",2,6.3,4.4,,3.5,,6.9
"Newspapers, books, and stationery",2,79.4,33.1,,15.5,21.8,39.4
Thereof:,1,,,,,,
Daily newspaper,1,2.2,1.8,1.7,,,1.6
Subscription to daily newspaper,1,28.1,9.0,4.4,2.4,4.0,9.6
Subscription to periodicals and publications,1,12.2,6.3,3.1,2.8,3.2,5.5
Other books,1,36.7,15.6,,,13.3,22.4
"Culture, sports, and entertainment",2,474.7,404.8,291.1,203.8,149.7,304.9
Thereof:,1,,,,,,
Movie tickets and cultural events,1,48.3,,,,,25.1
Subscription to cultural performances,1,27.5,,,,,7.2
"Membership in a social club, health club, or swimming pool",2,96.5,87.6,51.9,38.4,20.8,59.0
"Celebrations (halls, catering)",2,171.7,187.4,,104.9,85.1,136.1
Other expenditures on celebrations,1,,,,30.5,24.8,38.3
Entrance to night clubs and other entertainment venues,2,,,,,,4.9
Social organization fees,1,7.8,6.4,4.4,,,4.7
Museum and exhibition fees,1,4.1,3.0,1.7,1.1,,2.3
Subscriptions for websites,1,14.4,9.9,8.7,5.6,,9.2
Recreation and excursions,1,319.6,211.6,169.7,130.8,56.6,177.7
Thereof:,1,,,,,,
Hotels,1,206.0,116.2,99.9,58.8,22.4,100.7
Rural tourism,1,40.7,26.7,,20.1,,22.1
Other recreation places,1,30.5,33.4,20.6,13.9,,20.2
Summer camp for children,1,26.9,18.9,20.4,27.5,14.0,21.5
Entrance to sites,1,3.8,3.4,1.6,1.4,,2.4
"Sailing, off-road vehicles, horseback riding,",2,,,,,,3.3
Entrance fees to amusement and water parks,2,,2.0,2.4,,,2.1
Entrance fees to gimbories and escape rooms,2,,,3.6,1.6,,2.9
Entrance fees to zoos,1,,2.5,1.5,1.8,2.3,1.8
Entertainment durable goods,0,246.1,194.8,141.0,109.9,71.5,152.7
Thereof:,1,,,,,,
Television,1,49.5,35.9,,,,26.3
Musical instruments,1,,,,,,5.5
Subscription for television broadcasts(29),1,155.3,142.0,115.6,79.4,39.0,106.3
Earphones,1,6.7,,,1.2,,3.4
"(SPECIFIED COMMODITIES) OF HOUSEHOLDS,",2,,,,,,
BY QUINTILE OF NET INCOME,1,,,,,,
PER STANDARD PERSON (Cont.),1,,,,,,
"Hobbies, sports and camping equipment",2,226.3,234.5,165.1,167.5,177.3,194.2
Thereof:,1,,,,,,
Buying pets and expenses for their care,2,28.6,49.4,25.9,,16.9,30.5
Pet food,0,,53.2,30.0,,16.4,37.6
Toys,1,16.2,34.9,20.6,13.9,18.8,20.9
Games,1,16.4,16.8,13.2,15.6,,15.2
Lotteries,1,,,,,,4.8
Subscription to lottery,1,14.9,14.8,9.9,4.5,2.1,9.3
Pocket money,1,,,31.3,41.6,66.7,37.8
Sports and fitness equipment,1,13.6,,,,,8.2
"Computer, internet and their products",2,71.1,48.8,44.4,24.3,30.1,43.7
Computer,1,41.8,,,,,25.5
Computer accessories,1,,7.1,,,,5.5
Printer ink,1,2.5,,,,,1.1
Tablet,1,,,,,,4.6
Upgrade and computer repairs,1,,,,,,5.0
Transport and communications,0,5374.0,3902.4,2981.7,2333.4,1764.9,3271.6
Public transport,0,61.7,57.6,43.5,63.7,78.9,61.1
Thereof:,1,,,,,,
Transport by bus,0,17.3,21.0,24.8,44.6,56.4,32.8
Transport by special taxi,1,26.7,,,,,17.1
Transport by train,0,9.0,,,,,4.7
Travel abroad,1,1752.9,933.6,664.4,414.0,214.0,795.9
Thereof:,1,,,,,,
Organized tour abroad,1,189.3,,,,,77.7
Other travel abroad,1,801.2,422.1,299.3,202.5,102.9,365.7
Expenditures on stay abroad,1,706.9,394.3,291.5,173.2,95.6,332.3
Insurance for travel abroad,1,22.5,11.0,3.8,3.9,,8.4
Expenditures on vehicles,0,3117.4,2507.7,1917.0,1531.8,1176.3,2050.2
Thereof:,1,,,,,,
Bicycles,1,,,,,,7.6
Car registration,1,181.6,158.1,126.4,99.8,71.5,127.5
Registration fee and change of ownership,1,,,,,,4.6
Compulsory auto insurance,1,145.7,135.6,113.1,91.1,66.0,110.3
Comprehensive auto insurance,1,273.4,224.1,172.2,137.4,74.7,176.4
Third party auto insurance,1,15.3,23.3,25.2,23.7,27.6,23.0
Fuel and lubricants for vehicles,1,490.8,500.9,492.5,402.3,363.7,450.0
Periodic maintenance,1,113.0,102.7,67.2,53.6,50.8,77.5
Other car repairs,1,45.3,49.4,59.3,39.0,32.0,45.0
Buying a car,1,1335.4,987.2,678.0,538.6,395.9,787.1
Buying a car and monthly payments for private leasing,2,63.8,,,,,38.8
Car wash,1,6.5,,,,,5.5
Imputed expenses on unowned car,1,325.6,184.5,86.7,18.0,,127.8
Car expenses for another household(30),1,13.9,8.7,,,13.5,11.3
Subscription for car locator systems,1,6.3,5.2,1.9,,,3.2
Expenses on two-wheel vehicle (31),1,23.4,16.5,,,,10.9
Changing tires(30),1,13.2,11.5,10.9,10.5,,10.4
Battery replacement(30),1,,,,,,4.3
Other expenditures,0,97.8,67.7,64.3,71.3,67.0,73.6
Thereof:,1,,,,,,
Driving lessons,1,14.7,,28.6,31.6,37.8,25.1
Moving of dwelling's content,1,11.2,11.0,,10.2,8.9,9.1
Freight and other expenses,1,16.0,5.4,5.8,5.5,2.8,7.1
Parking fees,1,23.6,13.6,10.6,,3.7,12.6
Toll road subscription(30),1,13.1,8.9,5.6,2.5,,6.3
Parking subscription(30),1,1.9,,,,,1.5
"Postal services, telephone, and communications",2,344.1,335.8,292.5,252.6,228.7,290.8
Thereof:,1,,,,,,
"Telephone, current account",2,27.8,22.6,17.6,17.6,16.5,20.4
"Mobile phone, current account",2,98.8,97.0,101.2,96.6,98.1,98.3
"Mobile phone, purchase",2,94.5,89.9,70.9,57.2,38.0,70.1
Repair and accessories for phone,1,,,,,,11.1
Mobile phone for persons outside the household,2,4.7,2.2,2.1,3.1,,2.9
Internet subscription,1,100.0,90.3,86.2,71.4,57.0,81.0
"(SPECIFIED COMMODITIES) OF HOUSEHOLDS,",2,,,,,,
BY QUINTILE OF NET INCOME,1,,,,,,
PER STANDARD PERSON (Cont.),1,,,,,,
Miscellaneous goods and services,1,1349.2,774.2,735.6,703.5,735.1,859.6
Thereof:,1,,,,,,
"Cigarettes, tobacco, and accessories",2,52.0,86.6,126.8,144.2,182.6,118.4
Thereof:,1,,,,,,
Cigarettes,1,46.9,74.4,117.5,132.5,168.9,108.1
Cigars and tobacco,1,,,,,,7.9
Persona services and cosmetics,1,124.6,87.2,75.1,40.0,29.7,71.3
Thereof:,1,,,,,,
Men's and children's haircuts(32),1,,,,,9.1,7.2
Women's hairdressing,1,45.2,34.5,25.7,,,25.1
Cosmetic treatments,1,52.9,40.3,36.3,23.0,,32.9
Personal articles and cosmetics,1,173.7,166.1,149.9,140.0,113.7,148.7
Thereof:,1,,,,,,
Bath soap,1,18.3,15.1,13.7,14.7,9.7,14.3
Hair products,1,25.7,23.2,29.6,24.5,23.2,25.2
Shaving accessories and shaving cream,1,,,,,,3.1
Cosmetics and make-up (including other items),1,78.8,88.7,66.5,58.6,42.3,67.0
Toilet paper,1,21.5,19.3,20.1,21.3,24.0,21.2
"Handkerchiefs (paper, linen)",2,5.8,5.3,6.6,7.5,6.7,6.4
Other products,1,4.1,,,,,2.2
Gratuities,1,8.6,5.0,,,,3.3
Hair accessories,1,,3.2,1.9,,1.9,1.9
Hygienic masks – fabric and paper,1,,,,,,1.0
Legal and other services,1,,127.7,84.1,117.8,172.7,211.4
Thereof:,1,,,,,,
"An attorney for administrative issues – inheritance, wills",2,41.0,,,,,28.2
"Architect, engineer and interior decorator",2,48.9,,,,,21.2
"Fines, fees, and payment for permits",2,,,,,,24.4
Jewellery and watches,1,128.1,,92.9,63.0,44.2,87.4
Thereof:,1,,,,,,
Rings(33),1,35.1,,,,,17.0
Earrings(33),1,24.5,6.6,6.6,,2.4,9.4
Necklaces(33),1,12.8,,,13.3,,22.8
Bracelets(33),1,,,,,,14.5
Smart watches,1,,,,,,6.8
"Wallets, bags, suitcases, and baby products",2,42.6,45.9,49.5,63.9,65.2,53.4
Thereof:,1,,,,,,
"Bags, backpacks, satchels, and suitcases",2,,,,,,10.2
Baby products,1,,,,,6.5,6.2
Pre-moistened towelettes,1,11.1,10.0,13.1,13.8,11.8,12.0
Diapers (all kinds),1,13.3,10.9,18.9,34.4,38.2,23.2
Organization dues and donations,1,231.3,125.1,112.0,96.0,98.0,132.5
Donations to organizations and institutions,1,207.6,113.7,102.3,90.9,95.4,122.0
"Membership dues to Histadrut, professional organization,",2,23.6,11.4,9.6,5.2,2.6,10.5
"(SPECIFIED COMMODITIES) OF HOUSEHOLDS,",2,,,,,,
BY QUINTILE OF NET INCOME,1,,,,,,
PER STANDARD PERSON (Cont.),1,,,,,,
Selected savings items,1,9708.0,4798.0,3535.0,2973.0,1492.0,4502.0
Cumulative life insurance premiums,1,139.1,93.1,63.9,36.8,23.6,71.3
Payments to provident funds,1,343.8,183.4,101.2,56.4,29.0,142.8
Payments to training funds,1,601.7,343.0,203.6,97.9,35.4,256.4
Payments to managers insurance,1,177.5,92.3,42.9,16.5,,66.6
Payments to pension fund,1,1081.1,767.3,580.7,359.1,180.0,593.7
Mortgage payments (principal+interest),1,2283.6,1483.2,1099.4,776.7,464.5,1221.7
Renovations and Investments in dwelling,1,880.5,562.2,414.8,,254.7,505.2
and includes current monetary transfers in Israel and abroad and monetary gifts.,2,,,,,,
"frozen blintzes, and other frozen pastry products.",2,,,,,,
"""Pastry and pastry products – not frozen"" including",2,,,,,,
"bourekas, pancake, croissant, and other not frozen products.",2,,,,,,
"""Other products from grains and pastry – frozen"" including",2,,,,,,
"frozen eggrolls, frozen dumplings, frozen cigar-shapped appetizers, frozen ravioli,",2,,,,,,
"frozen kubbeh, etc.",2,,,,,,
"""beef – frozen"", ""beef – unknown fresh or frozen"", and ""aged beef"".",2,,,,,,
"and now includes ""fresh"" and ""unknown if fresh or frozen"".",2,,,,,,
"as of 2019, ""frozen chicken"" was transferred to this code.",2,,,,,,
"""fish, domestically grown"" and carp was added.",2,,,,,,
"substitutes made from soy, tofu, tahini, and almonds.",2,,,,,,
gardener and others.,1,,,,,,
"clothespins, and matches.",2,,,,,,
and other municipal taxes.,1,,,,,,
"previous years it was included in ""outdoor furniture"".",2,,,,,,
"grill, toaster oven or toaster, microwave, and electric and",2,,,,,,
non-electric stove-top for cooking.,1,,,,,,
"electric frying pan, electric juicer, hotplate,",2,,,,,,
"coffee maker, water purification device, and other electrical kitchen appliances.",2,,,,,,
and other kitchenware.,1,,,,,,
"courses, and preparation courses for screening exams and others.",2,,,,,,
"As of 2021, also including activities with animals, tennis, and other sports.",2,,,,,,
and other transmission.,1,,,,,,
and maintenance and repairs for two-wheel vehicles.,2,,,,,,
(over NIS 100) appear separately.,1,,,,,,
